차량명,연식,주행거리,가격
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,20년 5월식,"40,088km","2,500만원"
쉐보레(GM대우) 트래버스 가솔린 4WD 3.6 AWD 레드라인,20년 9월식,"93,629km","2,150만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,22년 4월식,"88,341km","2,420만원"
기아 올 뉴 모닝 (JA) 럭셔리,19년 11월식(20년형),"42,268km",790만원
제네시스 G80 3.3 GDI AWD 프리미엄 럭셔리,17년 4월식,"107,523km","1,950만원"
현대 싼타페 더 프라임 디젤 2.0 2WD 프리미엄,17년 4월식,"102,076km","1,320만원"
현대 투싼 하이브리드 (4세대) 1.6 터보 2WD 모던,23년 11월식,"14,413km","2,670만원"
기아 올 뉴 모닝 (JA) 디럭스,17년 12월식(18년형),"53,910km",730만원
제네시스 GV70 가솔린 터보 2.5 2WD,22년 9월식(23년형),"22,003km","4,020만원"
르노코리아(삼성) SM3 네오 SE 플러스,15년 1월식,"104,538km",450만원
제네시스 G80 (RG3) 가솔린 터보 2.5 AWD,23년 1월식,"50,040km","4,180만원"
기아 K5 3세대 가솔린 터보 1.6 프레스티지,22년 11월식(23년형),"51,739km","1,990만원"
BMW 1시리즈 (F20) 118d 스포츠 5도어,15년 1월식,"76,846km","1,190만원"
현대 더 뉴 팰리세이드 가솔린 3.8 4WD 캘리그래피,23년 8월식,"50,062km","3,690만원"
제네시스 G80 3.3 GDI 럭셔리,18년 1월식,"127,256km","1,590만원"
현대 캐스퍼 가솔린 1.0 터보 모던,22년 7월식(23년형),"23,491km","1,430만원"
기아 K5 3세대 하이브리드 노블레스,21년 4월식,"81,948km","2,190만원"
제네시스 G70 2.2D 엘리트,18년 11월식(19년형),"105,406km","1,750만원"
KG모빌리티(쌍용) 티볼리 에어 디젤 IX 2WD 플러스 패키지,16년 8월식,"130,259km",580만원
벤츠 A-클래스 W177 가솔린 2WD A220 세단,21년 1월식,"118,837km","1,890만원"
기아 K7 프리미어 가솔린 3.0 노블레스,21년 1월식,"81,697km","2,170만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,23년 2월식,"43,367km","2,680만원"
제네시스 GV80 가솔린 2.5 2WD (7인승),20년 7월식,"48,701km","4,600만원"
기아 올 뉴 K7 3.3 GDI 리미티드 플러스,17년 3월식,"77,734km","1,310만원"
기아 쏘렌토 4세대 디젤 2.2 2WD 프레스티지,21년 5월식,"92,765km","2,280만원"
기아 더 K9 3.8 GDI AWD 플래티넘Ⅲ,18년 4월식(19년형),"97,175km","2,360만원"
KG모빌리티(쌍용) 베리 뉴 티볼리 1.5 가솔린 2WD V3,22년 1월식,"59,416km","1,450만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
KG모빌리티(쌍용) G4 렉스턴 디젤 2.2 4WD 헤리티지 스폐셜,20년 2월식,"112,642km","2,050만원"
폭스바겐 투아렉 3세대 디젤 4WD 3.0 TDI 프레스티지,23년 3월식,"40,650km","6,030만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,23년 1월식,"93,364km","4,720만원"
기아 올 뉴 카니발 9인승 프레스티지,18년 3월식,"119,936km","1,250만원"
기아 K5 2세대 2.0 MX 프레스티지,17년 8월식(18년형),"103,722km",880만원
기아 올 뉴 카니발 9인승 프레스티지,17년 7월식(18년형),"140,180km","1,150만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 5월식(21년형),"65,050km","1,830만원"
현대 투싼 (4세대) 1.6 터보 인스퍼레이션,21년 5월식,"71,992km","2,490만원"
제네시스 GV70 가솔린 터보 2.5 AWD,22년 2월식,"100,126km","4,240만원"
쉐보레(GM대우) 올 뉴 크루즈 1.4 터보 LT 디럭스,17년 12월식,"38,752km",860만원
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,21년 6월식,"80,815km","2,460만원"
현대 엑센트(신형) 1.4 VVT 스마트,15년 8월식(16년형),"71,503km",630만원
기아 모하비 4WD QV300 세부등급 없음,12년 11월식(13년형),"79,079km",990만원
기아 스포티지 R 디젤 2WD TLX 최고급형,12년 5월식,"97,195km",750만원
현대 캐스퍼 가솔린 1.0 터보 인스퍼레이션,21년 11월식(22년형),"40,998km","1,470만원"
쉐보레(GM대우) 더 넥스트 스파크 LTZ,16년 11월식(17년형),"45,935km",670만원
현대 아반떼 (CN7) 가솔린 1.6 모던,20년 5월식(21년형),"85,825km","1,750만원"
현대 싼타페 TM 디젤 2.0 2WD 프리미엄,18년 11월식(19년형),"23,799km","1,880만원"
제네시스 G70 2.0T 엘리트,20년 3월식,"26,982km","2,690만원"
렉서스 CT200h 1.8 슈프림 ZWA10,18년 10월식(19년형),"27,181km","2,170만원"
현대 팰리세이드 디젤 2.2 4WD 프레스티지 (7인승),20년 5월식,"110,235km","2,540만원"
제네시스 GV70 가솔린 터보 3.5 스포츠 AWD,21년 9월식,"27,371km","4,190만원"
기아 디 올 뉴 스포티지 2.0 디젤 2WD 프레스티지,22년 1월식,"54,064km","2,430만원"
현대 더 뉴 아반떼 AD 1.6 스마트,19년 1월식,"84,097km","1,260만원"
현대 쏘나타 DN8 1.6 터보 프리미엄 패밀리,19년 10월식(20년형),"74,701km","1,950만원"
기아 니로 프레스티지,17년 9월식(18년형),"61,831km","1,560만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 4월식,"54,500km","1,720만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
현대 포터2 LPi 2.5 터보 카고 슈퍼캡 초장축 프리미엄,24년 11월식(25년형),"50,280km","1,840만원"
기아 K7 프리미어 가솔린 2.5 X 에디션,20년 9월식,"102,022km","2,080만원"
르노코리아(삼성) 뉴QM3 RE 시그니쳐,19년 3월식,"62,871km","1,010만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 프레스티지,22년 3월식,"98,887km","2,820만원"
현대 YF 쏘나타 Y20 탑 고급형,09년 12월식(10년형),"50,819km",590만원
도요타 크라운 크로스오버 가솔린+전기 2.5 4WD,23년 10월식,"27,322km","4,500만원"
기아 스팅어 마이스터 2.5 터보 4WD 플래티넘,20년 11월식(21년형),"30,213km","2,250만원"
르노코리아(삼성) 뉴 QM6 가솔린 2.0 2WD RE 시그니처,20년 12월식(21년형),"49,706km","1,790만원"
제네시스 G70 2.0T AWD 슈프림,18년 2월식,"36,405km","2,390만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 노블레스,22년 8월식(23년형),"62,463km","2,750만원"
기아 올 뉴 카니발 9인승 프레스티지,15년 12월식(16년형),"104,204km","1,050만원"
쉐보레(GM대우) 트래버스 가솔린 4WD 3.6 AWD 레드라인,19년 10월식(20년형),"101,747km","1,950만원"
쉐보레(GM대우) 콜로라도 가솔린 4WD 3.6 익스트림-X,20년 2월식,"87,060km","1,780만원"
현대 베뉴 1.6 모던,20년 1월식,"56,465km","1,540만원"
현대 아반떼 (CN7) 가솔린 1.6 인스퍼레이션,21년 5월식,"38,645km","1,890만원"
현대 쏘나타 DN8 1.6 터보 프리미엄 플러스,22년 6월식,"45,412km","2,210만원"
르노코리아(삼성) 뉴QM3 RE 파노라믹 에디션,18년 10월식,"65,719km",830만원
기아 더 뉴 카니발 7인승 리무진 프레지던트,19년 9월식(20년형),"120,807km","1,850만원"
KG모빌리티(쌍용) 렉스턴 스포츠 디젤 2.2 4WD 노블레스,19년 10월식(20년형),"70,045km","1,810만원"
현대 넥쏘 프리미엄,22년 9월식(23년형),"78,496km","2,020만원"
기아 뉴 쏘렌토 R 디젤 2.0 2WD 리미티드,12년 8월식(13년형),"106,348km",990만원
현대 LF 쏘나타 LPI 스마트(장애인용),15년 5월식,"97,157km","1,050만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 2WD 시그니처 그래비티,21년 1월식,"65,822km","3,200만원"
현대 더 뉴 그랜저 가솔린 2.5 프리미엄,21년 1월식,"88,790km","2,090만원"
르노코리아(삼성) XM3 가솔린 1.6 RE,23년 11월식,"33,650km","1,750만원"
제네시스 G80 3.3 GDI 럭셔리,16년 9월식(17년형),"151,895km","1,470만원"
쉐보레(GM대우) 더 뉴 트레일블레이저 1.3 터보 2WD RS,23년 11월식(24년형),"8,824km","2,270만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
쉐보레(GM대우) 올 뉴 말리부 1.5 터보 LT 디럭스,18년 10월식,"42,224km",880만원
기아 레이 디럭스,15년 5월식(16년형),"65,369km",790만원
기아 디 올 뉴 니로 시그니처,22년 1월식,"48,775km","2,530만원"
현대 싼타페 DM 디젤(e-VGT) 2.0 2WD 익스클루시브 세부등급 없음,15년 8월식,"107,628km","1,120만원"
현대 더 뉴 그랜저 가솔린 2.5 스폐셜,21년 1월식,"83,598km","2,410만원"
현대 팰리세이드 가솔린 3.8 2WD VIP (7인승),20년 11월식(21년형),"82,358km","2,890만원"
현대 올 뉴 투싼 TL 가솔린 1.6 터보 2WD 모던,20년 6월식,"60,366km","1,850만원"
제네시스 GV70 가솔린 터보 2.5 AWD,23년 4월식,"19,113km","4,790만원"
제네시스 G80 3.3 GDI 프리미엄 럭셔리,18년 12월식,"80,683km","1,690만원"
기아 레이 럭셔리,14년 9월식(15년형),"64,808km",750만원
제네시스 GV80 가솔린 2.5 AWD (5인승),23년 4월식,"19,690km","5,840만원"
기아 K7 프리미어 가솔린 3.0 노블레스,19년 10월식(20년형),"119,305km","1,790만원"
현대 쏘나타 더 브릴리언트 CVVL 스마트,13년 5월식,"59,176km",720만원
기아 쏘울 1.6 GDI 프랜드 기본형,12년 8월식(13년형),"122,430km",470만원
쉐보레(GM대우) 말리부 2.4 LTZ,12년 11월식(13년형),"89,264km",570만원
현대 포터2 LPi 2.5 터보 카고 슈퍼캡 초장축 프리미엄,25년 6월식,"22,758km","1,980만원"
기아 스토닉 1.6 디젤 트렌디,19년 5월식,"100,679km",940만원
기아 더 뉴 니로 프레스티지,19년 4월식(20년형),"128,316km","1,490만원"
현대 코나 1.6 터보 2WD 모던 초이스,20년 9월식,"35,411km","1,610만원"
현대 싼타페 TM 가솔린 2.0T 2WD 프레스티지,19년 12월식(20년형),"56,341km","2,200만원"
기아 더 뉴 K5 2세대 2.0 프레스티지,18년 10월식(19년형),"88,714km","1,350만원"
기아 카니발 (4세대) 디젤 2.2 (9인승) 프레스티지,21년 11월식(22년형),"54,224km","2,630만원"
현대 아반떼 MD M16 GDI 럭셔리,12년 6월식,"75,685km",550만원
기아 올 뉴 카니발 9인승 노블레스,14년 8월식(15년형),"137,801km","1,060만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,23년 1월식,"45,664km","5,260만원"
현대 더 뉴 코나 하이브리드 모던,21년 2월식,"90,743km","1,980만원"
기아 올 뉴 카니발 9인승 럭셔리,17년 4월식,"57,884km","1,450만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 K8 가솔린 3.5 2WD 시그니처,22년 7월식(23년형),"52,427km","2,990만원"
현대 아반떼 (CN7) 가솔린 1.6 모던,21년 8월식,"69,348km","1,730만원"
기아 K5 3세대 가솔린 2.0 프레스티지,20년 1월식,"53,578km","1,750만원"
기아 K3 디젤 W 스페셜,14년 6월식(15년형),"92,499km",690만원
기아 올 뉴 K7 3.0 GDI 리미티드,18년 4월식,"69,473km","1,750만원"
현대 더 뉴 투싼 디젤 2.0 2WD 인스퍼레이션,25년 3월식,"15,375km","3,190만원"
링컨 MKX 2세대 2.7 리저브 AWD,16년 3월식,"24,635km","1,620만원"
아우디 A4 (B9) 40 TFSI 프리미엄,21년 12월식,"27,698km","2,730만원"
현대 아반떼 AD 1.6 GDI 밸류 플러스,17년 12월식(18년형),"89,509km","1,030만원"
제네시스 EQ900 3.3 T-GDI AWD 프리미엄 럭셔리,17년 5월식(18년형),"143,580km","1,650만원"
현대 투싼 (4세대) 1.6 터보 프리미엄,22년 5월식,"62,615km","2,350만원"
르노코리아(삼성) 클리오 인텐스,18년 11월식,"77,723km",750만원
쉐보레(GM대우) 더 넥스트 스파크 LTZ,16년 11월식(17년형),"88,429km",630만원
현대 더 뉴 그랜저 가솔린 3.3 캘리그래피,19년 12월식(20년형),"91,721km","2,140만원"
벤츠 C-클래스 W205 C200 아방가르드,18년 1월식,"77,103km","1,750만원"
현대 베뉴 1.6 모던,19년 8월식(20년형),"72,953km","1,340만원"
기아 스팅어 2.0 터보 2WD 드림에디션,18년 3월식,"162,368km","1,690만원"
현대 코나 하이브리드 가솔린 1.6 하이브리드 프리미엄 스폐셜,20년 9월식,"81,209km","1,830만원"
기아 레이 럭셔리,13년 2월식,"88,415km",630만원
현대 그랜저 IG 3.0 익스클루시브 스페셜,19년 1월식,"44,362km","2,040만원"
현대 LF 쏘나타 2.0 스마트 세부등급 없음,16년 1월식,"113,917km","1,020만원"
기아 스포티지 4세대 가솔린 2.0 2WD 노블레스,18년 4월식,"71,395km","1,490만원"
기아 스포티지 4세대 가솔린 2.0 2WD 노블레스,18년 1월식,"96,944km","1,510만원"
현대 더 뉴 아반떼 (CN7) LPG 1.6 (일반인판매용) 모던,24년 1월식,"27,268km","1,990만원"
기아 K3 GT 1.6 터보 5도어 플러스,18년 11월식(19년형),"109,843km","1,350만원"
BMW X6 (G06) 가솔린 4WD xDrive40i M 스포츠,22년 2월식,"46,127km","7,570만원"
기아 스포티지 더 볼드 디젤 1.6 2WD 시그니쳐,20년 3월식,"39,577km","1,880만원"
아우디 A8 (D5) 가솔린 4WD 55 TFSI 콰트로 프리미엄 LWB,23년 12월식,"24,372km","8,700만원"
벤츠 A-클래스 W177 가솔린 2WD A220 세단,25년 7월식(26년형),"2,423km","4,000만원"
아우디 Q8 (4M) 디젤 4WD 50 TDI 콰트로 프리미엄,21년 4월식,"51,499km","6,490만원"
벤츠 AMG GT 4도어 43 4MATIC+,24년 8월식,"17,004km","10,150만원"
벤츠 E-클래스 W213 E350 4MATIC AMG Line,22년 12월식(23년형),"30,815km","5,750만원"
아우디 Q8 (4M) 가솔린 4WD 55 TFSI 콰트로 프리미엄,23년 12월식,"17,540km","8,850만원"
BMW 5시리즈 (G30) 530i M 스포츠,20년 12월식,"37,772km","3,700만원"
BMW 3시리즈 (G20) 가솔린 2WD M340i,23년 4월식,"25,146km","6,300만원"
BMW 5시리즈 (G60) 가솔린 2WD 520i,25년 7월식,"10,035km","5,400만원"
기아 올 뉴 카니발 9인승 프레스티지,14년 7월식(15년형),"102,132km","1,070만원"
KG모빌리티(쌍용) 뉴코란도 C 2.0 RX 4WD 최고급형,15년 6월식,"87,462km",720만원
르노코리아(삼성) QM6 가솔린 2WD RE 시그니처,19년 4월식,"87,094km","1,240만원"
기아 더 뉴 K9 2세대 3.8 GDI 플래티넘,22년 12월식(23년형),"18,590km","3,790만원"
현대 팰리세이드 가솔린 3.8 4WD 캘리그래피 (7인승),21년 12월식(22년형),"78,128km","2,750만원"
기아 더 뉴 K9 2세대 3.3 T-GDI AWD 베스트셀렉션Ⅱ,23년 6월식,"80,769km","4,390만원"
제네시스 G80 3.8 GDI AWD 프레스티지,16년 11월식(17년형),"76,141km","1,960만원"
현대 코나 디젤 1.6 2WD 모던 팝,17년 12월식(18년형),"99,962km","1,150만원"
현대 투싼 (4세대) 1.6 터보 프리미엄,22년 6월식,"35,451km","2,450만원"
기아 올 뉴 모닝 (JA) 트렌디,18년 10월식,"42,386km",730만원
기아 니로 럭셔리,16년 5월식(17년형),"71,574km","1,270만원"
제네시스 GV70 가솔린 터보 2.5 AWD,22년 4월식,"50,750km","3,690만원"
현대 쏘나타 뉴 라이즈 2.0 모던,18년 1월식,"101,798km","1,380만원"
쉐보레(GM대우) 스파크 LT 기본형,14년 6월식,"61,742km",430만원
벤츠 GLC-클래스 X253 GLC220 d 4MATIC 쿠페,21년 3월식,"57,670km","4,700만원"
기아 올 뉴 쏘렌토 디젤 2.0 2WD 노블레스,16년 6월식,"66,108km","1,550만원"
제네시스 G80 (RG3) 가솔린 터보 2.5 2WD,23년 1월식,"92,140km","3,530만원"
아우디 A5 (F5) 가솔린 4WD 45 TFSI 콰트로 프리미엄 스포츠백,19년 9월식,"114,295km","2,290만원"
렉서스 NX350h 프리미엄,24년 12월식(25년형),"10,116km","5,870만원"
기아 쏘렌토 4세대 하이브리드 가솔린 터보 1.6 4WD 시그니처 그래비티,20년 11월식(21년형),"112,886km","2,990만원"
현대 LF 쏘나타 2.0 스마트 세부등급 없음,15년 5월식,"39,862km","1,120만원"
기아 셀토스 가솔린 터보 1.6 2WD 트렌디,21년 2월식(22년형),"83,761km","1,480만원"
